epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.856,1.76958,1.57316,1.11448,0.93608,0.87043,0.92445,0.65051,1.15438,0.83174,0.90454,0.00326923,0.00326923,0.00326923
2,130.245,1.40587,0.60167,0.92911,0.945,0.88199,0.9297,0.55242,1.51786,0.63929,0.94552,0.00659603,0.00659603,0.00659603
3,195.922,1.51556,0.73813,0.92812,0.93354,0.89071,0.92948,0.6129,1.23659,0.68617,0.8904,0.00991622,0.00991622,0.00991622
4,216.464,1.53915,0.7308,0.92845,0.8746,0.83308,0.86924,0.40106,1.92465,0.81955,0.98905,0.0099703,0.0099703,0.0099703
5,259.358,1.44677,0.67406,0.91018,0.9252,0.8695,0.91337,0.47527,1.75568,0.75471,0.94166,0.0099604,0.0099604,0.0099604
6,295.788,1.36549,0.67634,0.8928,0.96308,0.90086,0.94296,0.6498,1.21894,0.62419,0.86875,0.0099505,0.0099505,0.0099505
7,372.082,1.33586,0.60316,0.8875,0.97494,0.90985,0.94877,0.68132,1.19803,0.61669,0.85781,0.0099406,0.0099406,0.0099406
8,438.296,1.27712,0.57868,0.88278,0.97519,0.90959,0.94947,0.70801,1.09782,0.53452,0.85743,0.0099307,0.0099307,0.0099307
9,523.981,1.25732,0.56808,0.87166,0.97919,0.91185,0.95025,0.69912,1.12201,0.55307,0.8554,0.0099208,0.0099208,0.0099208
10,560.182,1.20639,0.54832,0.8699,0.97392,0.91041,0.94921,0.67547,1.15326,0.54929,0.86816,0.0099109,0.0099109,0.0099109
11,600.863,1.20673,0.5483,0.86737,0.97872,0.91353,0.95311,0.73414,0.98873,0.5077,0.83656,0.009901,0.009901,0.009901
12,619.122,1.16323,0.53141,0.86507,0.97628,0.91363,0.95212,0.72672,1.0495,0.50962,0.85068,0.0098911,0.0098911,0.0098911
13,659.332,1.13928,0.52556,0.86284,0.97785,0.91479,0.95235,0.72106,1.06808,0.52544,0.84354,0.0098812,0.0098812,0.0098812
14,736.912,1.14023,0.51294,0.86168,0.97558,0.9142,0.95245,0.72067,1.06872,0.49682,0.85798,0.0098713,0.0098713,0.0098713
15,760.544,1.13402,0.50795,0.86136,0.97798,0.91555,0.95241,0.74837,0.98231,0.48645,0.84159,0.0098614,0.0098614,0.0098614
16,804.296,1.12516,0.50565,0.85893,0.97828,0.91637,0.95349,0.74512,0.97396,0.47313,0.84026,0.0098515,0.0098515,0.0098515
17,883.957,1.11681,0.49664,0.85582,0.97817,0.91619,0.95386,0.76052,0.94232,0.493,0.82886,0.0098416,0.0098416,0.0098416
18,907.597,1.08191,0.49539,0.85136,0.97969,0.91506,0.95257,0.73017,1.00901,0.47439,0.84092,0.0098317,0.0098317,0.0098317
19,976.343,1.08676,0.48751,0.85226,0.97879,0.91658,0.95428,0.76503,0.92212,0.47109,0.83541,0.0098218,0.0098218,0.0098218
20,1053.47,1.05482,0.48424,0.85185,0.97678,0.9172,0.95294,0.74617,0.97408,0.47028,0.8363,0.0098119,0.0098119,0.0098119
21,1110.16,1.06634,0.47926,0.85077,0.97929,0.91789,0.95389,0.77589,0.86873,0.44812,0.8303,0.009802,0.009802,0.009802
22,1169.72,1.06677,0.4813,0.84937,0.98028,0.91719,0.95405,0.76651,0.90118,0.44362,0.83458,0.0097921,0.0097921,0.0097921
