epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1501.25,0.77348,1.28896,0.90072,0.59574,0.73458,0.64357,0.54461,0.66149,0.75915,0.83865,0.00333286,0.00333286,0.00333286
2,2968.03,0.72445,1.1237,0.87147,0.59537,0.74292,0.65595,0.55963,0.63254,0.6983,0.83489,0.0066002,0.0066002,0.0066002
3,4423.05,0.73305,1.13971,0.87511,0.58985,0.74767,0.65317,0.5603,0.62493,0.70102,0.83381,0.00980154,0.00980154,0.00980154
4,5872.44,0.71512,1.11693,0.86949,0.60532,0.74622,0.65963,0.57131,0.60027,0.67058,0.82761,0.009703,0.009703,0.009703
5,7322.05,0.68208,1.08001,0.86126,0.60925,0.74793,0.6661,0.57977,0.5803,0.65091,0.82336,0.009604,0.009604,0.009604
6,8772.48,0.66537,1.06071,0.85679,0.61737,0.74166,0.66942,0.58469,0.57016,0.64271,0.82145,0.009505,0.009505,0.009505
7,10222.8,0.65462,1.04961,0.85401,0.61827,0.74486,0.67073,0.58727,0.56141,0.63671,0.81978,0.009406,0.009406,0.009406
8,11672.3,0.64421,1.03994,0.85169,0.61907,0.74695,0.67242,0.58964,0.5573,0.63267,0.81904,0.009307,0.009307,0.009307
9,13121.5,0.63793,1.03427,0.85032,0.62006,0.74726,0.67318,0.59121,0.55378,0.6296,0.81845,0.009208,0.009208,0.009208
10,14571.3,0.6325,1.02875,0.84881,0.62062,0.74729,0.67396,0.59282,0.5507,0.62757,0.81796,0.009109,0.009109,0.009109
11,16020.6,0.62871,1.02455,0.8483,0.62175,0.74618,0.67461,0.59391,0.54715,0.62537,0.81737,0.00901,0.00901,0.00901
12,17470.8,0.6236,1.0204,0.84696,0.62243,0.74671,0.67519,0.59517,0.54428,0.62342,0.81686,0.008911,0.008911,0.008911
13,18920,0.62138,1.01701,0.84642,0.62275,0.74684,0.67571,0.59623,0.54135,0.62192,0.81636,0.008812,0.008812,0.008812
14,20370,0.61797,1.01482,0.84624,0.62314,0.74686,0.67631,0.59725,0.53865,0.62024,0.81589,0.008713,0.008713,0.008713
15,21818.9,0.6159,1.01323,0.8449,0.62309,0.7475,0.6768,0.59805,0.5363,0.61896,0.8154,0.008614,0.008614,0.008614
16,23269,0.61539,1.01052,0.84513,0.62364,0.74707,0.67728,0.59879,0.53415,0.61725,0.81497,0.008515,0.008515,0.008515
17,24718.7,0.61288,1.00799,0.84518,0.62537,0.74547,0.67772,0.59957,0.53204,0.61576,0.81452,0.008416,0.008416,0.008416
18,26169,0.61037,1.00643,0.84454,0.62569,0.74572,0.67806,0.60011,0.52984,0.61439,0.81417,0.008317,0.008317,0.008317
19,27619.1,0.61022,1.00609,0.84431,0.62624,0.74557,0.67837,0.60046,0.52843,0.61304,0.81382,0.008218,0.008218,0.008218
20,29068.4,0.60795,1.00437,0.84395,0.62623,0.74668,0.67858,0.60102,0.52664,0.61176,0.81346,0.008119,0.008119,0.008119
21,30518,0.60638,1.00449,0.84334,0.62704,0.74645,0.67887,0.60172,0.52508,0.61052,0.8131,0.00802,0.00802,0.00802
22,31968.1,0.60407,1.00042,0.84273,0.62784,0.74625,0.6791,0.60219,0.5233,0.60948,0.81281,0.007921,0.007921,0.007921
23,33418.1,0.60283,1.00052,0.84254,0.62812,0.74667,0.67937,0.60275,0.52162,0.60833,0.81253,0.007822,0.007822,0.007822
24,34866.9,0.60356,1.00041,0.84283,0.62919,0.74605,0.67951,0.60325,0.51997,0.60758,0.81228,0.007723,0.007723,0.007723
25,36316.2,0.60042,0.99907,0.84226,0.62877,0.74699,0.6797,0.6037,0.51842,0.60717,0.81204,0.007624,0.007624,0.007624
26,37766,0.60034,0.99679,0.84229,0.62884,0.74838,0.68013,0.60448,0.51696,0.60737,0.8119,0.007525,0.007525,0.007525
27,39215.3,0.59747,0.99482,0.84119,0.62886,0.74829,0.68028,0.60489,0.51575,0.6069,0.81173,0.007426,0.007426,0.007426
28,40664.7,0.59639,0.99346,0.84152,0.62871,0.74942,0.68056,0.60516,0.51451,0.60603,0.81157,0.007327,0.007327,0.007327
29,42114.9,0.59607,0.99324,0.84115,0.63053,0.7471,0.68067,0.60541,0.5135,0.60505,0.81141,0.007228,0.007228,0.007228
30,43564.5,0.59505,0.99328,0.84075,0.63066,0.7476,0.68077,0.60565,0.51257,0.60404,0.81137,0.007129,0.007129,0.007129
31,45013.8,0.59421,0.99214,0.84102,0.62949,0.75011,0.68087,0.6061,0.51136,0.60313,0.81116,0.00703,0.00703,0.00703
32,46463.7,0.59377,0.99056,0.84038,0.6311,0.74878,0.68105,0.6066,0.51028,0.6027,0.81105,0.006931,0.006931,0.006931
33,47914.1,0.59222,0.98848,0.84036,0.62945,0.75128,0.68118,0.607,0.50918,0.60241,0.81087,0.006832,0.006832,0.006832
34,49364,0.59284,0.98895,0.84028,0.63009,0.75117,0.68135,0.6073,0.5082,0.60239,0.8107,0.006733,0.006733,0.006733
35,50813.9,0.59012,0.98743,0.83998,0.63039,0.7503,0.68129,0.60756,0.50749,0.60167,0.81043,0.006634,0.006634,0.006634
36,52263.8,0.58798,0.98554,0.83939,0.63042,0.75034,0.68136,0.60778,0.50662,0.60095,0.81031,0.006535,0.006535,0.006535
37,53713,0.58922,0.98486,0.8396,0.6302,0.75051,0.68155,0.60797,0.50629,0.60047,0.81024,0.006436,0.006436,0.006436
38,55162.8,0.5873,0.98457,0.83989,0.63067,0.75021,0.6817,0.60813,0.50587,0.60003,0.81014,0.006337,0.006337,0.006337
39,56611.8,0.58706,0.9841,0.83939,0.63084,0.74995,0.68177,0.60847,0.50506,0.59913,0.81,0.006238,0.006238,0.006238
40,58061.6,0.58684,0.98317,0.83974,0.63097,0.7501,0.6819,0.60862,0.50424,0.59918,0.80993,0.006139,0.006139,0.006139
41,59510.4,0.58704,0.98433,0.83972,0.63101,0.75058,0.68199,0.60873,0.50343,0.59886,0.8098,0.00604,0.00604,0.00604
42,60960,0.58362,0.98193,0.83899,0.63075,0.75045,0.68205,0.60896,0.50276,0.59844,0.8097,0.005941,0.005941,0.005941
43,62408.7,0.58286,0.97764,0.83824,0.63105,0.75058,0.68215,0.60926,0.502,0.59794,0.8095,0.005842,0.005842,0.005842
44,63857.8,0.58219,0.97931,0.83822,0.63139,0.74997,0.6821,0.60938,0.50118,0.59716,0.80936,0.005743,0.005743,0.005743
45,65306.4,0.58179,0.97985,0.83804,0.63133,0.75012,0.6822,0.60959,0.50065,0.59642,0.80926,0.005644,0.005644,0.005644
46,66756.5,0.5808,0.97929,0.83764,0.63113,0.75048,0.68227,0.60973,0.50015,0.59607,0.80917,0.005545,0.005545,0.005545
47,68205.3,0.57927,0.97869,0.83778,0.6312,0.7506,0.68236,0.61011,0.49969,0.59529,0.80903,0.005446,0.005446,0.005446
48,69654.6,0.57875,0.97592,0.83764,0.63046,0.7518,0.6824,0.61038,0.49935,0.59499,0.80894,0.005347,0.005347,0.005347
49,71103.8,0.57832,0.97577,0.83751,0.63084,0.75123,0.68243,0.61036,0.49897,0.59519,0.80883,0.005248,0.005248,0.005248
50,72553,0.57638,0.97455,0.83676,0.63137,0.75076,0.68242,0.61065,0.49823,0.59464,0.80872,0.005149,0.005149,0.005149
51,74001.9,0.57609,0.97419,0.8369,0.63132,0.75083,0.68247,0.61078,0.49764,0.59419,0.80862,0.00505,0.00505,0.00505
52,75451.7,0.57542,0.97165,0.8368,0.63146,0.75104,0.68253,0.61092,0.49714,0.59376,0.80852,0.004951,0.004951,0.004951
53,76901.4,0.57437,0.97161,0.8368,0.63211,0.75034,0.68257,0.61097,0.49655,0.59342,0.80844,0.004852,0.004852,0.004852
54,78350.8,0.57331,0.97012,0.83622,0.63202,0.75016,0.68265,0.61123,0.49587,0.59271,0.80836,0.004753,0.004753,0.004753
55,79799.5,0.57298,0.96922,0.83619,0.63226,0.74962,0.68272,0.61151,0.49545,0.59239,0.80829,0.004654,0.004654,0.004654
56,81249.4,0.57087,0.96963,0.83564,0.63205,0.7508,0.68275,0.61158,0.49476,0.59215,0.80823,0.004555,0.004555,0.004555
57,82698.7,0.57092,0.96901,0.83589,0.63224,0.75115,0.68273,0.61189,0.49422,0.59163,0.80815,0.004456,0.004456,0.004456
58,84149.3,0.56922,0.96652,0.83574,0.63257,0.75129,0.68275,0.61183,0.49389,0.59143,0.80805,0.004357,0.004357,0.004357
59,85598,0.5692,0.9658,0.83519,0.6326,0.75009,0.68278,0.61212,0.49326,0.59064,0.80802,0.004258,0.004258,0.004258
60,87048.1,0.5671,0.96569,0.83494,0.6319,0.75103,0.68284,0.61235,0.49297,0.5903,0.80795,0.004159,0.004159,0.004159
61,88497,0.56713,0.96544,0.83478,0.63267,0.74984,0.68291,0.61261,0.49261,0.58965,0.80786,0.00406,0.00406,0.00406
62,89946.7,0.56545,0.96221,0.83405,0.63223,0.75109,0.68298,0.61256,0.49215,0.58931,0.80782,0.003961,0.003961,0.003961
63,91395.8,0.56608,0.96212,0.83493,0.6328,0.7513,0.68307,0.61273,0.49187,0.58893,0.80777,0.003862,0.003862,0.003862
64,92845.7,0.5641,0.96254,0.83426,0.63332,0.75057,0.6831,0.61268,0.49127,0.58888,0.80772,0.003763,0.003763,0.003763
65,94295.2,0.56231,0.958,0.83415,0.63367,0.74983,0.68308,0.61262,0.49115,0.58866,0.80763,0.003664,0.003664,0.003664
66,95745.1,0.56227,0.95742,0.83403,0.63269,0.75173,0.68307,0.61282,0.49066,0.58849,0.80754,0.003565,0.003565,0.003565
67,97194.9,0.56075,0.96003,0.8339,0.63214,0.75302,0.68307,0.61296,0.49019,0.58812,0.80748,0.003466,0.003466,0.003466
68,98644.3,0.55862,0.95684,0.83326,0.63227,0.75362,0.68311,0.61315,0.48962,0.58751,0.80743,0.003367,0.003367,0.003367
69,100093,0.55785,0.95453,0.83305,0.63253,0.75291,0.68323,0.61341,0.48935,0.58729,0.80743,0.003268,0.003268,0.003268
70,101543,0.55741,0.95541,0.83333,0.63253,0.7529,0.68325,0.61349,0.48902,0.58688,0.80736,0.003169,0.003169,0.003169
71,102992,0.55644,0.95369,0.83335,0.63227,0.75324,0.68317,0.61356,0.48884,0.58665,0.8073,0.00307,0.00307,0.00307
72,104441,0.55585,0.95099,0.83285,0.63167,0.75432,0.68315,0.61364,0.48848,0.58609,0.80732,0.002971,0.002971,0.002971
73,105891,0.55342,0.95098,0.83208,0.63152,0.75403,0.6831,0.61379,0.48819,0.58579,0.80726,0.002872,0.002872,0.002872
74,107340,0.5515,0.94917,0.83172,0.63058,0.75475,0.68308,0.61387,0.48767,0.58542,0.80718,0.002773,0.002773,0.002773
75,108790,0.55191,0.94806,0.83155,0.63134,0.75371,0.68313,0.61406,0.48742,0.58507,0.80714,0.002674,0.002674,0.002674
76,110239,0.5504,0.94708,0.83147,0.63156,0.75314,0.68309,0.61417,0.48687,0.58464,0.807,0.002575,0.002575,0.002575
77,111688,0.54932,0.94671,0.83106,0.63136,0.75397,0.68311,0.61432,0.48623,0.58428,0.8069,0.002476,0.002476,0.002476
78,113137,0.54802,0.94321,0.83067,0.63131,0.75387,0.68319,0.61458,0.48561,0.58425,0.80676,0.002377,0.002377,0.002377
79,114586,0.54635,0.94273,0.83063,0.63191,0.7536,0.68329,0.61466,0.48518,0.5837,0.80669,0.002278,0.002278,0.002278
80,116036,0.54503,0.93999,0.83049,0.6321,0.75343,0.68339,0.61482,0.48477,0.58321,0.80659,0.002179,0.002179,0.002179
81,117486,0.54359,0.9399,0.82948,0.63239,0.75312,0.68349,0.61498,0.48457,0.58304,0.80652,0.00208,0.00208,0.00208
